,State,Date,population,confirmed,deaths,recovered,people_hospitalized,hospitalization_rate,incident_rate,mortality_rate,testing_rate,TestsReported
3,Alabama,2020-04-12,4903185.0,3563,93,0.0,437.0,12.26,75.99,2.61,460.3,2165
2,Alabama,2020-04-13,4903185.0,3734,99,0.0,457.0,12.24,79.63,2.65,622.36,2626
1,Alabama,2020-04-14,4903185.0,3953,114,0.0,493.0,12.47,84.31,2.88,706.29,2942
0,Alabama,2020-04-15,4903185.0,4075,118,0.0,525.0,12.88,86.91,2.9,726.76,3289
6,Alabama,2020-04-16,4903185.0,4345,133,0.0,553.0,12.73,92.67,3.06,776.11,3079
5,Alabama,2020-04-17,4903185.0,4571,148,0.0,594.0,12.99,97.49,3.24,807.18,8756
4,Alabama,2020-04-18,4903185.0,4712,153,0.0,620.0,13.16,100.49,3.25,907.21,3160
11,Alabama,2020-04-19,4903185.0,4888,157,0.0,641.0,13.11,104.25,3.21,974.9,966
10,Alabama,2020-04-20,4903185.0,5079,163,0.0,641.0,12.62,108.32,3.21,978.91,2415
9,Alabama,2020-04-21,4903185.0,5317,183,0.0,699.0,13.15,113.4,3.44,1034.91,2741
8,Alabama,2020-04-22,4903185.0,5593,196,0.0,730.0,13.05,119.28,3.5,1039.9,4464
7,Alabama,2020-04-23,4903185.0,5832,202,0.0,768.0,13.17,124.38,3.46,1122.67,4348
14,Alabama,2020-04-24,4903185.0,6026,209,0.0,769.0,12.76,128.52,3.47,1127.96,3111
13,Alabama,2020-04-25,4903185.0,6026,209,0.0,839.0,13.92,128.52,3.47,1521.55,3556
12,Alabama,2020-04-26,4903185.0,6421,219,0.0,845.0,13.16,136.94,3.41,1568.62,1323
18,Alabama,2020-04-27,4903185.0,6539,228,0.0,872.0,13.34,139.46,3.49,1578.13,2313
17,Alabama,2020-04-28,4903185.0,6750,242,0.0,911.0,13.5,143.96,3.59,1617.16,16180
16,Alabama,2020-04-29,4903185.0,6912,256,0.0,945.0,13.67,147.41,3.7,1715.73,4129
15,Alabama,2020-04-30,4903185.0,7088,272,0.0,978.0,13.8,151.17,3.84,1859.63,4093
23,Alabama,2020-05-01,4903185.0,7294,289,0.0,1008.0,13.82,155.56,3.96,1960.65,5028
22,Alabama,2020-05-02,4903185.0,7611,288,0.0,1023.0,13.44,162.32,3.78,1966.54,3541
21,Alabama,2020-05-03,4903185.0,7888,290,0.0,1035.0,13.12,168.23,3.68,1972.75,2899
20,Alabama,2020-05-04,4903185.0,8112,298,0.0,1064.0,13.12,173.0,3.67,2199.17,3115
19,Alabama,2020-05-05,4903185.0,8437,315,0.0,1107.0,13.12,179.94,3.73,2277.0,5772
26,Alabama,2020-05-06,4903185.0,8691,343,0.0,1158.0,13.32,185.35,3.95,2335.65,4827
25,Alabama,2020-05-07,4903185.0,9046,369,0.0,1178.0,13.02,192.92,4.08,2456.29,6162
24,Alabama,2020-05-08,4903185.0,9385,383,0.0,1207.0,12.86,200.15,4.08,2561.67,6498
30,Alabama,2020-05-09,4903185.0,9668,390,0.0,1228.0,12.7,206.19,4.03,2676.41,5004
29,Alabama,2020-05-10,4903185.0,9889,393,0.0,1240.0,12.54,210.9,3.97,2717.5,2883
28,Alabama,2020-05-11,4903185.0,10164,403,0.0,1256.0,12.36,216.77,3.96,2760.65,3715
27,Alabama,2020-05-12,4903185.0,10464,435,0.0,1287.0,12.3,223.17,4.16,2841.14,8085
34,Alabama,2020-05-13,4903185.0,10700,450,0.0,1317.0,12.31,228.2,4.21,2908.4,6718
33,Alabama,2020-05-14,4903185.0,11101,473,0.0,1350.0,12.16,226.4,4.26,2895.77,6776
32,Alabama,2020-05-15,4903185.0,11373,483,0.0,1377.0,12.11,231.95,4.25,2978.94,7103
31,Alabama,2020-05-16,4903185.0,11674,485,0.0,1387.0,11.88,238.09,4.15,3130.5,5331
37,Alabama,2020-05-17,4903185.0,11771,488,0.0,1392.0,11.83,240.07,4.15,3188.74,4723
36,Alabama,2020-05-18,4903185.0,12086,489,0.0,1416.0,11.72,246.49,4.05,3204.51,6121
35,Alabama,2020-05-19,4903185.0,12376,504,0.0,1453.0,11.74,252.41,4.07,3213.54,9444
41,Alabama,2020-05-20,4903185.0,13052,522,0.0,1493.0,11.44,266.19,4.0,3353.94,9865
40,Alabama,2020-05-21,4903185.0,13288,529,0.0,1528.0,11.5,271.01,3.98,3482.21,7537
39,Alabama,2020-05-22,4903185.0,13670,541,7951.0,1561.0,11.42,278.8,3.96,3625.56,7368
38,Alabama,2020-05-23,4903185.0,14117,549,7951.0,1589.0,11.26,287.91,3.89,3725.66,7632
46,Alabama,2020-05-24,4903185.0,14478,551,7951.0,1612.0,11.13,295.28,3.81,3789.35,3915
45,Alabama,2020-05-25,4903185.0,14986,566,7951.0,1629.0,10.87,305.64,3.78,3881.46,4817
44,Alabama,2020-05-26,4903185.0,15650,580,7951.0,1671.0,10.68,319.18,3.71,3951.7,5079
43,Alabama,2020-05-27,4903185.0,16032,583,7951.0,1719.0,10.72,326.97,3.64,3993.2,7966
42,Alabama,2020-05-28,4903185.0,16530,591,9355.0,1765.0,10.68,337.13,3.58,4088.79,8129
50,Alabama,2020-05-29,4903185.0,17031,610,9355.0,1800.0,10.57,347.35,3.58,4260.15,8311
49,Alabama,2020-05-30,4903185.0,17359,618,9355.0,1826.0,10.52,354.04,3.56,4327.82,8202
48,Alabama,2020-05-31,4903185.0,17952,630,9355.0,1844.0,10.27,366.13,3.51,4436.97,4521
47,Alabama,2020-06-01,4903185.0,18630,646,9355.0,1856.0,9.96,379.96,3.47,4558.73,4847
54,Alabama,2020-06-02,4903185.0,18766,653,9355.0,1879.0,10.01,382.73,3.48,4564.42,8332
53,Alabama,2020-06-03,4903185.0,18851,653,11395.0,1900.0,10.08,384.46,3.46,4723.34,9435
52,Alabama,2020-06-04,4903185.0,19072,653,11395.0,1929.0,10.11,388.97,3.42,4798.9,8859
51,Alabama,2020-06-05,4903185.0,19387,676,11395.0,1949.0,10.05,395.4,3.49,4884.03,9032
57,Alabama,2020-06-06,4903185.0,20043,689,11395.0,1993.0,9.94,408.78,3.44,5009.89,7667
56,Alabama,2020-06-07,4903185.0,20500,692,11395.0,2022.0,9.86,418.1,3.38,5293.82,5421
55,Alabama,2020-06-08,4903185.0,20925,718,11395.0,2054.0,9.82,426.76,3.43,5302.49,7306
61,Alabama,2020-06-09,4903185.0,21422,729,11395.0,2087.0,9.74,436.9,3.4,5460.51,8395
60,Alabama,2020-06-10,4903185.0,21989,744,13508.0,2129.0,9.68,448.46,3.38,5568.97,10441
59,Alabama,2020-06-11,4903185.0,22845,755,13508.0,2165.0,9.48,465.92,3.3,5686.63,10144
58,Alabama,2020-06-12,4903185.0,23710,769,13508.0,2202.0,9.29,483.56,3.24,5840.8,10658
66,Alabama,2020-06-13,4903185.0,24601,773,13508.0,2241.0,9.11,501.74,3.14,5980.85,8596
65,Alabama,2020-06-14,4903185.0,25615,773,13508.0,2255.0,8.8,522.42,3.02,6066.57,3499
64,Alabama,2020-06-15,4903185.0,26272,774,13508.0,2259.0,8.6,535.81,2.95,6173.01,6919
63,Alabama,2020-06-16,4903185.0,26912,785,13508.0,2315.0,8.6,548.87,2.92,6229.09,10089
62,Alabama,2020-06-17,4903185.0,27312,790,15974.0,2352.0,8.61,557.03,2.89,6337.17,10264
70,Alabama,2020-06-18,4903185.0,28206,810,15974.0,2373.0,8.41,575.26,2.87,6578.05,10146
69,Alabama,2020-06-19,4903185.0,29002,822,15974.0,2416.0,8.33,591.49,2.83,6757.34,10786
68,Alabama,2020-06-20,4903185.0,29549,838,15974.0,2443.0,8.27,602.65,2.84,6924.54,9874
67,Alabama,2020-06-21,4903185.0,30021,839,15974.0,2460.0,8.19,612.28,2.79,7029.68,5826
73,Alabama,2020-06-22,4903185.0,30454,841,15974.0,2471.0,8.11,621.11,2.76,7120.07,6726
72,Alabama,2020-06-23,4903185.0,31097,864,15974.0,2521.0,8.11,634.22,2.78,7220.57,11487
71,Alabama,2020-06-24,4903185.0,32064,891,18866.0,2567.0,8.01,653.94,2.78,7316.86,12805
77,Alabama,2020-06-25,4903185.0,33206,896,18866.0,2612.0,7.87,677.23,2.7,7535.06,11592
76,Alabama,2020-06-26,4903185.0,34183,907,18866.0,2653.0,7.76,697.16,2.65,7715.86,14162
75,Alabama,2020-06-27,4903185.0,35083,919,18866.0,2697.0,7.69,715.51,2.62,7832.17,12921
74,Alabama,2020-06-28,4903185.0,35441,919,18866.0,2703.0,7.63,722.82,2.59,7878.14,6197
81,Alabama,2020-06-29,4903185.0,37175,929,18866.0,2725.0,7.33,758.18,2.5,8021.17,8086
80,Alabama,2020-06-30,4903185.0,38045,950,18866.0,2769.0,7.28,775.92,2.5,8293.63,11877
79,Alabama,2020-07-01,4903185.0,38962,972,18866.0,2803.0,7.19,794.63,2.49,8442.53,17822
78,Alabama,2020-07-02,4903185.0,40111,985,22082.0,2835.0,7.07,818.06,2.46,8560.31,13791
84,Alabama,2020-07-03,4903185.0,41865,1006,22082.0,2883.0,6.89,853.83,2.4,8782.68,13911
83,Alabama,2020-07-04,4903185.0,42862,1007,22082.0,2906.0,6.78,874.17,2.35,9016.34,11565
82,Alabama,2020-07-05,4903185.0,43953,1007,22082.0,2909.0,6.62,896.42,2.29,9175.38,5858
88,Alabama,2020-07-06,4903185.0,44878,1007,22082.0,2914.0,6.49,915.28,2.24,9281.62,7942
87,Alabama,2020-07-07,4903185.0,45785,1033,22082.0,2961.0,6.47,933.78,2.26,9409.48,14572
86,Alabama,2020-07-08,4903185.0,46962,1058,22082.0,3006.0,6.4,957.79,2.25,9550.77,16234
85,Alabama,2020-07-09,4903185.0,49174,1068,25783.0,3039.0,6.18,1002.9,2.17,9595.89,13999
93,Alabama,2020-07-10,4903185.0,50508,1104,25783.0,3089.0,6.12,1030.11,2.19,10038.7,18066
92,Alabama,2020-07-11,4903185.0,51947,1114,25783.0,6745.0,12.98,1059.45,2.14,10238.65,13798
91,Alabama,2020-07-12,4903185.0,53587,1121,25783.0,6745.0,12.59,1092.9,2.09,10432.12,13096
90,Alabama,2020-07-13,4903185.0,55545,1124,25783.0,6745.0,12.14,1132.84,2.02,10597.28,14636
89,Alabama,2020-07-14,4903185.0,57255,1164,25783.0,7123.0,12.44,1167.71,2.03,10790.72,15135
97,Alabama,2020-07-15,4903185.0,59067,1211,29736.0,7291.0,12.34,1204.67,2.05,11034.64,18051
96,Alabama,2020-07-16,4903185.0,61088,1230,29736.0,7584.0,12.41,1245.88,2.01,11239.82,15603
95,Alabama,2020-07-17,4903185.0,63091,1265,29736.0,7584.0,12.02,1286.74,2.01,11484.68,19548
94,Alabama,2020-07-18,4903185.0,65234,1286,29736.0,7782.0,11.93,1330.44,1.97,11716.77,15374
101,Alabama,2020-07-19,4903185.0,67011,1287,29736.0,7782.0,11.61,1366.68,1.92,11941.89,8814
100,Alabama,2020-07-20,4903185.0,68891,1291,29736.0,8368.0,12.15,1405.03,1.87,12110.25,12484
99,Alabama,2020-07-21,4903185.0,70358,1303,29736.0,8538.0,12.14,1434.94,1.85,12244.71,16149
98,Alabama,2020-07-22,4903185.0,71813,1364,29736.0,8538.0,11.89,1464.62,1.9,12430.45,19056
105,Alabama,2020-07-23,4903185.0,74212,1397,32510.0,8995.0,12.12,1513.55,1.88,12635.2,16443
104,Alabama,2020-07-24,4903185.0,76005,1438,32510.0,9157.0,12.05,1550.11,1.89,12828.07,18270
103,Alabama,2020-07-25,4903185.0,78130,1456,32510.0,9157.0,11.72,1593.45,1.86,13085.6,15008
102,Alabama,2020-07-26,4903185.0,79294,1473,32510.0,9157.0,11.55,1617.19,1.86,13250.29,9614
109,Alabama,2020-07-27,4903185.0,81115,1491,32510.0,9694.0,11.95,1654.33,1.84,13419.01,14568
108,Alabama,2020-07-28,4903185.0,82366,1491,32510.0,9893.0,12.01,1679.85,1.81,13570.75,15439
107,Alabama,2020-07-29,4903185.0,83782,1538,32510.0,9893.0,11.81,1708.73,1.84,13629.41,17611
106,Alabama,2020-07-30,4903185.0,85762,1565,35401.0,10070.0,11.74,1749.11,1.82,13870.74,17323
113,Alabama,2020-07-31,4903185.0,87723,1580,35401.0,10521.0,11.99,1789.1,1.8,14061.62,16809
112,Alabama,2020-08-01,4903185.0,89349,1603,35401.0,10521.0,11.78,1822.26,1.79,14222.82,14452
111,Alabama,2020-08-02,4903185.0,91444,1627,35401.0,10521.0,11.51,1864.99,1.78,14400.23,7064
110,Alabama,2020-08-03,4903185.0,92661,1633,35401.0,10865.0,11.73,1889.81,1.76,14563.0,10203
116,Alabama,2020-08-04,4903185.0,93702,1666,35401.0,11100.0,11.85,1911.04,1.78,14731.26,16091
115,Alabama,2020-08-05,4903185.0,94654,1695,37923.0,11100.0,11.73,1930.46,1.79,14836.48,17864
114,Alabama,2020-08-06,4903185.0,96592,1714,37923.0,11313.0,11.71,1969.98,1.77,15087.83,18979
120,Alabama,2020-08-07,4903185.0,98301,1735,37923.0,11537.0,11.74,2004.84,1.76,15284.27,15820
119,Alabama,2020-08-08,4903185.0,100173,1755,37923.0,11537.0,11.52,2043.02,1.75,15286.02,12656
118,Alabama,2020-08-09,4903185.0,101334,1768,37923.0,11537.0,11.39,2066.7,1.74,15550.12,12581
117,Alabama,2020-08-10,4903185.0,103020,1797,37923.0,12070.0,11.72,2101.08,1.74,15919.59,8855
124,Alabama,2020-08-11,4903185.0,103851,1847,37923.0,12070.0,11.62,2118.03,1.78,15983.26,16379
123,Alabama,2020-08-12,4903185.0,104786,1882,41523.0,12292.0,11.73,2137.1,1.8,16229.68,16684
122,Alabama,2020-08-13,4903185.0,105557,1890,41523.0,12456.0,11.8,2152.83,1.79,16368.18,25673
121,Alabama,2020-08-14,4903185.0,106309,1893,41523.0,12456.0,11.72,2168.16,1.78,16825.47,18941
128,Alabama,2020-08-15,4903185.0,107580,1896,41523.0,12607.0,11.72,2194.08,1.76,17070.88,16031
127,Alabama,2020-08-16,4903185.0,108433,1898,41523.0,12607.0,11.63,2211.48,1.75,17262.74,12390
126,Alabama,2020-08-17,4903185.0,109004,1925,41523.0,12958.0,11.89,2223.13,1.77,17395.28,14709
125,Alabama,2020-08-18,4903185.0,110361,1936,41523.0,12958.0,11.74,2250.8,1.75,17708.06,18556
132,Alabama,2020-08-19,4903185.0,111478,1944,41523.0,13080.0,11.73,2273.58,1.74,18056.55,18712
131,Alabama,2020-08-20,4903185.0,112449,1974,44684.0,13330.0,11.85,2293.39,1.76,18289.72,16749
130,Alabama,2020-08-21,4903185.0,113632,1996,44684.0,13330.0,11.73,2317.51,1.76,18296.27,14659
129,Alabama,2020-08-22,4903185.0,114532,2011,44684.0,13502.0,11.79,2335.87,1.76,18687.49,11808
136,Alabama,2020-08-23,4903185.0,115060,2013,44684.0,13502.0,11.73,2346.64,1.75,18797.35,5916
135,Alabama,2020-08-24,4903185.0,116710,2024,44684.0,13793.0,11.82,2380.29,1.73,18831.0,8843
134,Alabama,2020-08-25,4903185.0,117242,2037,44684.0,13793.0,11.76,2391.14,1.74,18911.73,15111
133,Alabama,2020-08-26,4903185.0,119254,2045,48028.0,14005.0,11.74,2432.17,1.71,19246.37,15825
140,Alabama,2020-08-27,4903185.0,121023,2076,48028.0,14005.0,11.57,2468.25,1.72,19514.03,15763
145,Alaska,2020-04-12,731545.0,272,8,66.0,31.0,11.4,45.5,2.94,1344.71,262
144,Alaska,2020-04-13,731545.0,277,8,85.0,32.0,11.55,46.34,2.89,1309.91,399
143,Alaska,2020-04-14,731545.0,285,9,98.0,32.0,11.23,47.68,3.16,1396.57,398
142,Alaska,2020-04-15,731545.0,293,9,106.0,34.0,11.6,49.02,3.07,1449.44,551
149,Alaska,2020-04-16,731545.0,300,9,110.0,35.0,11.67,50.19,3.0,1461.32,499
148,Alaska,2020-04-17,731545.0,309,9,128.0,36.0,11.65,51.69,2.91,1580.93,506
147,Alaska,2020-04-18,731545.0,314,9,147.0,39.0,12.42,52.53,2.87,1615.23,399
146,Alaska,2020-04-19,731545.0,319,9,153.0,37.0,11.6,53.37,2.82,1655.38,296
152,Alaska,2020-04-20,731545.0,321,9,161.0,46.0,14.33,53.7,2.8,1693.69,536
151,Alaska,2020-04-21,731545.0,329,9,168.0,42.0,12.77,55.04,2.74,1860.15,757
150,Alaska,2020-04-22,731545.0,335,9,196.0,39.0,11.64,56.04,2.69,2034.13,759
156,Alaska,2020-04-23,731545.0,337,9,209.0,42.0,12.46,56.38,2.67,2034.47,563
155,Alaska,2020-04-24,731545.0,339,9,208.0,36.0,10.62,56.71,2.65,2054.54,782
154,Alaska,2020-04-25,731545.0,339,9,217.0,32.0,9.44,56.71,2.65,2631.87,607
153,Alaska,2020-04-26,731545.0,340,9,217.0,14.0,4.12,56.88,2.65,2706.32,602
160,Alaska,2020-04-27,731545.0,345,9,218.0,10.0,2.9,57.72,2.61,2719.54,746
159,Alaska,2020-04-28,731545.0,351,9,228.0,0.0,0.0,58.72,2.56,2858.89,827
158,Alaska,2020-04-29,731545.0,355,9,240.0,0.0,0.0,59.39,2.54,3198.5,886
157,Alaska,2020-04-30,731545.0,355,9,252.0,0.0,0.0,59.39,2.54,3198.5,1015
165,Alaska,2020-05-01,731545.0,364,9,254.0,0.0,0.0,60.9,2.47,3400.26,603
164,Alaska,2020-05-02,731545.0,365,9,261.0,0.0,0.0,61.06,2.47,3579.93,550
163,Alaska,2020-05-03,731545.0,368,9,262.0,0.0,0.0,61.56,2.45,3609.88,605
162,Alaska,2020-05-04,731545.0,370,9,263.0,0.0,0.0,61.9,2.43,3634.13,1207
161,Alaska,2020-05-05,731545.0,371,9,277.0,0.0,0.0,62.07,2.43,3796.24,1260
168,Alaska,2020-05-06,731545.0,372,10,284.0,0.0,0.0,62.23,2.69,3957.35,1050
167,Alaska,2020-05-07,731545.0,374,10,291.0,0.0,0.0,62.57,2.67,4072.11,901
166,Alaska,2020-05-08,731545.0,377,10,305.0,0.0,0.0,63.07,2.65,4261.49,1076
172,Alaska,2020-05-09,731545.0,378,10,318.0,0.0,0.0,63.24,2.65,4424.77,838
171,Alaska,2020-05-10,731545.0,379,10,324.0,0.0,0.0,63.4,2.64,4577.84,547
170,Alaska,2020-05-11,731545.0,379,10,328.0,0.0,0.0,63.4,2.64,4798.0,1173
169,Alaska,2020-05-12,731545.0,383,10,334.0,0.0,0.0,64.07,2.61,5012.3,1013
176,Alaska,2020-05-13,731545.0,383,10,338.0,0.0,0.0,64.07,2.61,5127.4,1401
175,Alaska,2020-05-14,731545.0,383,10,339.0,0.0,0.0,52.35,2.61,4341.77,1411
174,Alaska,2020-05-15,731545.0,388,10,343.0,0.0,0.0,53.04,2.58,4431.44,1012
173,Alaska,2020-05-16,731545.0,388,10,344.0,0.0,0.0,53.04,2.58,4549.41,1004
180,Alaska,2020-05-17,731545.0,388,10,344.0,0.0,0.0,53.04,2.58,4736.69,855
179,Alaska,2020-05-18,731545.0,388,10,345.0,0.0,0.0,53.04,2.58,4867.92,2202
178,Alaska,2020-05-19,731545.0,400,10,348.0,0.0,0.0,54.68,2.5,4973.04,2185
177,Alaska,2020-05-20,731545.0,401,10,352.0,0.0,0.0,54.82,2.49,5063.94,2257
184,Alaska,2020-05-21,731545.0,401,10,356.0,0.0,0.0,54.82,2.49,5405.68,1542
183,Alaska,2020-05-22,731545.0,403,10,356.0,0.0,0.0,55.09,2.48,5665.54,1334
182,Alaska,2020-05-23,731545.0,407,10,358.0,0.0,0.0,55.64,2.46,5789.25,795
181,Alaska,2020-05-24,731545.0,407,10,358.0,0.0,0.0,55.64,2.46,5947.28,789
188,Alaska,2020-05-25,731545.0,408,10,361.0,0.0,0.0,55.77,2.45,6079.19,835
187,Alaska,2020-05-26,731545.0,410,10,362.0,0.0,0.0,56.05,2.44,6146.44,1852
186,Alaska,2020-05-27,731545.0,411,10,364.0,0.0,0.0,56.18,2.43,6337.68,2015
185,Alaska,2020-05-28,731545.0,424,10,366.0,0.0,0.0,57.96,2.36,6557.35,1568
192,Alaska,2020-05-29,731545.0,429,10,367.0,0.0,0.0,58.64,2.33,6758.16,1733
191,Alaska,2020-05-30,731545.0,433,10,368.0,0.0,0.0,59.19,2.31,7066.55,1355
190,Alaska,2020-05-31,731545.0,459,10,368.0,0.0,0.0,62.74,2.18,7066.55,1223
189,Alaska,2020-06-01,731545.0,466,10,368.0,0.0,0.0,63.7,2.15,7407.61,2059
196,Alaska,2020-06-02,731545.0,486,10,371.0,0.0,0.0,66.43,2.06,7682.78,1905
195,Alaska,2020-06-03,731545.0,504,10,373.0,0.0,0.0,68.9,1.98,7953.3,1884
194,Alaska,2020-06-04,731545.0,512,10,376.0,0.0,0.0,69.99,1.95,8215.08,2176
193,Alaska,2020-06-05,731545.0,523,10,380.0,0.0,0.0,71.49,1.91,8337.15,1776
199,Alaska,2020-06-06,731545.0,535,10,382.0,48.0,8.97,73.13,1.87,8735.07,875
198,Alaska,2020-06-07,731545.0,543,10,382.0,0.0,0.0,74.23,1.84,8872.18,653
197,Alaska,2020-06-08,731545.0,562,10,384.0,0.0,0.0,76.82,1.78,9009.97,1584
203,Alaska,2020-06-09,731545.0,572,11,389.0,0.0,0.0,78.19,1.92,9143.66,1605
202,Alaska,2020-06-10,731545.0,592,11,392.0,0.0,0.0,80.92,1.86,9257.12,2248
201,Alaska,2020-06-11,731545.0,609,11,397.0,0.0,0.0,83.25,1.81,9433.6,2784
200,Alaska,2020-06-12,731545.0,624,12,403.0,0.0,0.0,85.3,1.92,9689.08,2782
208,Alaska,2020-06-13,731545.0,653,12,405.0,0.0,0.0,89.26,1.84,9815.25,1899
207,Alaska,2020-06-14,731545.0,660,12,411.0,0.0,0.0,90.22,1.82,10042.72,1643
206,Alaska,2020-06-15,731545.0,663,12,417.0,0.0,0.0,90.63,1.81,10175.31,3510
205,Alaska,2020-06-16,731545.0,675,12,429.0,0.0,0.0,92.27,1.78,10418.36,4083
204,Alaska,2020-06-17,731545.0,695,12,438.0,0.0,0.0,95.0,1.73,10622.59,3362
212,Alaska,2020-06-18,731545.0,707,12,449.0,0.0,0.0,96.64,1.7,11097.75,2990
211,Alaska,2020-06-19,731545.0,720,12,457.0,0.0,0.0,98.42,1.67,11432.11,2942
210,Alaska,2020-06-20,731545.0,741,12,464.0,0.0,0.0,101.29,1.62,11881.43,2372
209,Alaska,2020-06-21,731545.0,752,12,475.0,0.0,0.0,102.8,1.6,12036.31,2402
215,Alaska,2020-06-22,731545.0,758,12,491.0,0.0,0.0,103.62,1.58,12415.37,3873
214,Alaska,2020-06-23,731545.0,760,12,502.0,0.0,0.0,103.89,1.58,12705.58,3715
213,Alaska,2020-06-24,731545.0,789,12,507.0,0.0,0.0,107.85,1.52,13136.03,3989
219,Alaska,2020-06-25,731545.0,813,12,513.0,0.0,0.0,111.13,1.48,13594.79,3809
218,Alaska,2020-06-26,731545.0,833,14,519.0,0.0,0.0,113.87,1.68,13914.66,4065
217,Alaska,2020-06-27,731545.0,851,14,521.0,0.0,0.0,116.33,1.65,14432.6,2138
216,Alaska,2020-06-28,731545.0,880,14,521.0,0.0,0.0,120.29,1.59,14804.28,2483
223,Alaska,2020-06-29,731545.0,901,14,525.0,0.0,0.0,123.16,1.55,14860.19,5010
222,Alaska,2020-06-30,731545.0,937,14,526.0,0.0,0.0,128.09,1.49,15335.35,4482
221,Alaska,2020-07-01,731545.0,975,14,528.0,0.0,0.0,133.28,1.44,15638.14,5490
220,Alaska,2020-07-02,731545.0,1014,14,535.0,0.0,0.0,138.61,1.38,15844.41,3505
226,Alaska,2020-07-03,731545.0,1060,15,539.0,0.0,0.0,144.9,1.42,16432.07,3868
225,Alaska,2020-07-04,731545.0,1107,16,544.0,0.0,0.0,151.32,1.45,16777.1,2339
224,Alaska,2020-07-05,731545.0,1134,16,544.0,0.0,0.0,155.01,1.41,16777.1,1096
231,Alaska,2020-07-06,731545.0,1162,16,548.0,0.0,0.0,158.84,1.38,16916.66,3071
230,Alaska,2020-07-07,731545.0,1180,17,560.0,0.0,0.0,161.3,1.44,17964.72,4400
229,Alaska,2020-07-08,731545.0,1222,17,563.0,0.0,0.0,167.04,1.39,18235.52,7128
228,Alaska,2020-07-09,731545.0,1268,17,571.0,0.0,0.0,173.33,1.34,18555.8,5360
227,Alaska,2020-07-10,731545.0,1323,17,588.0,0.0,0.0,180.85,1.28,19401.54,5253
235,Alaska,2020-07-11,731545.0,1385,17,598.0,0.0,0.0,189.33,1.23,19599.07,4301
234,Alaska,2020-07-12,731545.0,1479,17,615.0,0.0,0.0,202.17,1.15,19885.99,3293
233,Alaska,2020-07-13,731545.0,1539,17,620.0,0.0,0.0,210.38,1.1,20038.41,4254
232,Alaska,2020-07-14,731545.0,1579,17,642.0,0.0,0.0,215.84,1.08,20432.51,4852
239,Alaska,2020-07-15,731545.0,1631,17,669.0,0.0,0.0,222.95,1.04,21337.44,5317
238,Alaska,2020-07-16,731545.0,1693,17,688.0,0.0,0.0,231.43,1.0,22284.62,4598
237,Alaska,2020-07-17,731545.0,1734,17,697.0,0.0,0.0,237.03,0.98,22611.6,6132
236,Alaska,2020-07-18,731545.0,1796,18,708.0,0.0,0.0,245.51,1.0,23014.72,5793
243,Alaska,2020-07-19,731545.0,1875,18,712.0,0.0,0.0,256.31,0.96,23649.95,4105
242,Alaska,2020-07-20,731545.0,1950,18,712.0,0.0,0.0,266.56,0.92,24002.08,5687
241,Alaska,2020-07-21,731545.0,2042,18,737.0,0.0,0.0,279.14,0.88,24417.64,5723
240,Alaska,2020-07-22,731545.0,2131,19,753.0,0.0,0.0,291.3,0.89,25334.46,6717
247,Alaska,2020-07-23,731545.0,2193,19,787.0,0.0,0.0,299.78,0.87,25905.31,6302
246,Alaska,2020-07-24,731545.0,2249,19,800.0,0.0,0.0,307.43,0.84,27417.59,6027
245,Alaska,2020-07-25,731545.0,2339,20,815.0,0.0,0.0,319.73,0.86,28031.91,4503
244,Alaska,2020-07-26,731545.0,2525,20,817.0,0.0,0.0,345.16,0.79,28332.37,4094
251,Alaska,2020-07-27,731545.0,2623,21,817.0,0.0,0.0,358.56,0.8,28346.58,5224
250,Alaska,2020-07-28,731545.0,2730,22,836.0,0.0,0.0,373.18,0.81,29236.07,6431
249,Alaska,2020-07-29,731545.0,2798,22,854.0,0.0,0.0,382.48,0.79,30574.2,5741
248,Alaska,2020-07-30,731545.0,2879,23,885.0,0.0,0.0,393.55,0.8,30764.61,4175
254,Alaska,2020-07-31,731545.0,2990,23,898.0,0.0,0.0,408.72,0.77,31864.89,5604
253,Alaska,2020-08-01,731545.0,3136,24,930.0,0.0,0.0,428.68,0.77,32620.41,4173
252,Alaska,2020-08-02,731545.0,3280,24,932.0,0.0,0.0,448.37,0.73,33229.67,3073
258,Alaska,2020-08-03,731545.0,3341,25,946.0,0.0,0.0,456.7,0.75,33601.08,5170
257,Alaska,2020-08-04,731545.0,3394,25,987.0,0.0,0.0,463.95,0.74,34536.36,5629
256,Alaska,2020-08-05,731545.0,3448,25,1017.0,0.0,0.0,471.33,0.73,35169.27,4953
255,Alaska,2020-08-06,731545.0,3483,25,1220.0,0.0,0.0,476.12,0.72,35756.11,5891
262,Alaska,2020-08-07,731545.0,3536,25,1238.0,0.0,0.0,483.36,0.71,36751.12,6496
261,Alaska,2020-08-08,731545.0,3613,26,1254.0,0.0,0.0,493.89,0.72,37399.34,4480
260,Alaska,2020-08-09,731545.0,3711,26,1269.0,0.0,0.0,507.28,0.7,37990.69,3588
259,Alaska,2020-08-10,731545.0,3774,26,1332.0,0.0,0.0,515.89,0.69,38322.04,7665
266,Alaska,2020-08-11,731545.0,3819,26,1344.0,0.0,0.0,522.05,0.68,39743.83,6443
265,Alaska,2020-08-12,731545.0,3879,27,1359.0,0.0,0.0,530.25,0.7,39995.08,7788
