Column1,State,Date,population,confirmed,deaths,incident_rate,mortality_rate,testing_rate,TestsReported,Pres
52,Alabama,2020-04-13,0.11107221283983362,0.005009030425810967,0.0030067423920306143,0.015811308712176154,0.2720739219712525,0.0118867213247057,2626,3015.0
53,Alaska,2020-04-13,0.00392428477466069,1.0122174648001352e-5,0.00024296908218429206,0.00508024924166965,0.29671457905544146,0.026605174053650905,399,404.0
54,Arizona,2020-04-13,0.17208738477521549,0.004967095702269247,0.003705278503310454,0.006550169073015687,0.337782340862423,0.011312368787846416,947,3015.0
55,Arkansas,2020-04-13,0.062646493515193,0.00164846844267451,0.0008807629229180587,0.007697738064154266,0.21149897330595482,0.015765474069898894,293,1921.0
56,California,2020-04-13,0.9999999999999999,0.03421439633519437,0.021684990584948067,0.009818806592719385,0.3069815195071869,0.008985630911169731,9150,10816.0
57,Colorado,2020-04-13,0.1330469079247611,0.010730951151831175,0.009293567393549172,0.03389196733941287,0.4086242299794661,0.012742791319077774,50,2790.0
58,Connecticut,2020-04-13,0.07670850967691958,0.018958833115706578,0.018283423434367976,0.11112400514471943,0.46201232032854206,0.025168329391929135,1680,2703.0
59,Delaware,2020-04-13,0.010145642319419612,0.0021516851251751497,0.0012452165461944967,0.04833973199751145,0.23921971252566734,0.024548807870620613,767,1059.0
60,District of Columbia,2020-04-13,0.0032617185051913196,0.002436552040268903,0.0015792990341978984,0.07943691755232561,0.2731006160164271,0.03172939197195156,391,1059.0
61,Florida,2020-04-13,0.5367870169476828,0.030003571681625794,0.015155196501245216,0.17690936461425888,0.04209445585215605,0.01834567202993055,14472,8881.0
62,Georgia,2020-04-13,0.257841531901708,0.01886339546902542,0.014122577901961976,0.032473623642500025,0.35831622176591377,0.010602509297639416,4603,3198.0
63,Hawaii,2020-04-13,0.02150111790720702,0.0003383698382331889,0.0002733402174573286,0.0016182012178414754,0.1837782340862423,0.0270564357561106,429,1921.0
64,Idaho,2020-04-13,0.031035152690240975,0.001671604841869942,0.0008200206523719857,0.018683454698424674,0.19404517453798767,0.018343959461799775,838,1921.0
65,Illinois,2020-04-13,0.31060842672514316,0.03145827278103857,0.024236165947883134,0.05064131699659276,0.37166324435318276,0.01785694789961011,5728,5495.0
66,Indiana,2020-04-13,0.15805066818611363,0.011696895818240448,0.010629897345562777,0.031319607634557295,0.43018480492813144,0.013133684994927588,2380,2790.0
67,Iowa,2020-04-13,0.06617214949073116,0.002082275927588855,0.0012452165461944967,0.01117590362999281,0.2464065708418891,0.013835409786513396,54,693.0
68,Kansas,2020-04-13,0.05996268402934812,0.0016195479436802202,0.0018830103869282634,0.008516509198281225,0.4579055441478439,0.010734805185741929,516,1344.0
69,Kentucky,2020-04-13,0.09988615449167329,0.002527651612100915,0.0034319382858531253,0.009145093336685785,0.5749486652977412,0.014738789475498181,532,3961.0
70,Louisiana,2020-04-13,0.10453821935803093,0.02999923360677665,0.02684808358136427,0.13750197439889628,0.4322381930184805,0.0488961749148586,4748,2790.0
71,Maine,2020-04-13,0.01966054189270187,0.0006188986784777986,0.0005770515701876936,0.009306268756789518,0.27926078028747436,0.021002935555847167,503,404.0
72,Maryland,2020-04-13,0.14041702017575422,0.012531252214225705,0.007957237441535564,0.038607960131648085,0.3008213552361396,0.017203817228735093,2326,3015.0
73,Massachusetts,2020-04-13,0.16216753793086586,0.03845992558755609,0.025633238170442812,0.11632030068886376,0.32238193018480493,0.0366290493941041,5881,7221.0
74,Michigan,2020-04-13,0.2416455417375654,0.03667842284950785,0.04865455870740448,0.0938588941432076,0.6416837782340862,0.020769384077012475,4377,3961.0
75,Minnesota,2020-04-13,0.12998774010963937,0.0019535797070642656,0.0021259794691125553,0.0007059483400543489,0.44353182751540043,0.015194118527268471,85,2790.0
76,Mississippi,2020-04-13,0.061576591284042956,0.003863778665637097,0.0029763712567575777,0.022899803688338313,0.34188911704312114,0.021473249578761757,1289,1486.0
77,Missouri,2020-04-13,0.14277355336273187,0.006138375911537978,0.0037356496385834905,0.014979643544440898,0.27926078028747436,0.015160509377701976,1465,3015.0
78,Montana,2020-04-13,0.012586062211161073,0.00017930709376459583,0.00021259794691125554,0.004809474535895378,0.18275154004106775,0.021053884457737777,314,913.0
79,Nebraska,2020-04-13,0.03481963485191043,0.0007866375726446784,0.0005163092996416206,0.007346375648328128,0.21457905544147843,0.013962996112256272,520,1921.0
80,Nevada,2020-04-13,0.06424799498960586,0.0039331878632233915,0.003462309421126162,0.022093926587819654,0.39117043121149897,0.016633532041186408,788,1486.0
81,New Hampshire,2020-04-13,0.020058631310073,0.001033907839045855,0.0006985361112798397,0.014048049616241324,0.24024640657084187,0.01662732398171234,181,1921.0
82,New Jersey,2020-04-13,0.21327234072981535,0.09299964861593722,0.0741966834720282,0.22453025423810768,0.38809034907597534,0.02976721703611399,502,7221.0
83,New Mexico,2020-04-13,0.03899139311107791,0.0014344567501167666,0.0007896495170989492,0.014538022893356676,0.21149897330595482,0.037737723187765755,853,1921.0
84,New York,2020-04-13,0.48479636951903377,0.2826675111452373,0.3054728785762012,0.3643789427537143,0.5277207392197125,0.059297029315099045,16270,18477.0
85,North Carolina,2020-04-13,0.2545194796948969,0.00667485116788205,0.0028548867156654315,0.006021513695075446,0.19712525667351127,0.012245718419119794,1278,5495.0
86,North Dakota,2020-04-13,0.004708109198811594,8.820752193258345e-5,0.00024296908218429206,0.007736420164979161,0.24845995893223818,0.036621770979548295,281,693.0
